unix,open,high,low,close,Volume LINK,Volume BTC
1751328000,0.000126,0.000126,0.000126,0.000126,0.000000,0.000000
1751241600,0.000125,0.000127,0.000122,0.000126,211.837004,0.026598
1751155200,0.000124,0.000124,0.000124,0.000124,4.513250,0.000559
1751068800,0.000122,0.000124,0.000122,0.000124,789.753201,0.098064
1750982400,0.000120,0.000123,0.000120,0.000122,337.548738,0.041100
1750896000,0.000125,0.000125,0.000121,0.000121,1047.417926,0.127219
1750809600,0.000126,0.000126,0.000123,0.000123,665.210000,0.082020
1750723200,0.000122,0.000129,0.000122,0.000129,125.982858,0.016222
1750636800,0.000117,0.000122,0.000116,0.000122,729.639980,0.088666
1750550400,0.000118,0.000118,0.000112,0.000115,842.573818,0.096694
1750464000,0.000122,0.000122,0.000116,0.000118,627.762489,0.073863
1750377600,0.000125,0.000125,0.000122,0.000122,333.213092,0.040812
1750291200,0.000126,0.000126,0.000125,0.000125,75.926660,0.009490
1750204800,0.000124,0.000125,0.000122,0.000125,443.529690,0.055282
1750118400,0.000126,0.000128,0.000124,0.000125,1783.209695,0.222455
1750032000,0.000126,0.000128,0.000126,0.000128,1537.926509,0.196532
1749945600,0.000126,0.000126,0.000125,0.000126,175.519979,0.022133
1749859200,0.000124,0.000125,0.000124,0.000125,150.064224,0.018728
1749772800,0.000130,0.000130,0.000124,0.000125,554.731792,0.069197
1749686400,0.000135,0.000135,0.000131,0.000132,430.393332,0.056610
1749600000,0.000140,0.000142,0.000137,0.000137,534.330108,0.073064
1749513600,0.000133,0.000142,0.000132,0.000140,1304.694550,0.182801
1749427200,0.000130,0.000130,0.000129,0.000130,90.218247,0.011701
1749340800,0.000130,0.000131,0.000129,0.000130,432.239534,0.056178
1749254400,0.000130,0.000133,0.000130,0.000133,96.136967,0.012749
1749168000,0.000128,0.000130,0.000128,0.000130,495.323955,0.064149
1749081600,0.000132,0.000132,0.000127,0.000127,211.473283,0.026893
1748995200,0.000136,0.000136,0.000133,0.000133,35.129066,0.004658
1748908800,0.000133,0.000135,0.000133,0.000135,178.761144,0.024126
1748822400,0.000131,0.000132,0.000131,0.000132,206.394861,0.027287
1748736000,0.000133,0.000133,0.000132,0.000133,176.326801,0.023492
1748649600,0.000133,0.000134,0.000130,0.000133,299.459255,0.039957
1748563200,0.000138,0.000139,0.000132,0.000135,253.571295,0.034323
1748476800,0.000147,0.000147,0.000144,0.000144,492.003514,0.070681
1748390400,0.000147,0.000147,0.000147,0.000147,31.200000,0.004575
1748304000,0.000142,0.000145,0.000142,0.000145,639.859904,0.092882
1748217600,0.000142,0.000144,0.000141,0.000141,291.840397,0.041269
1748131200,0.000143,0.000143,0.000140,0.000142,661.029386,0.093860
1748044800,0.000145,0.000145,0.000142,0.000142,46.059363,0.006550
1747958400,0.000153,0.000154,0.000148,0.000149,62.764101,0.009333
1747872000,0.000147,0.000152,0.000147,0.000150,140.397324,0.021061
1747785600,0.000149,0.000152,0.000146,0.000147,571.480478,0.084185
1747699200,0.000152,0.000152,0.000147,0.000147,18.376585,0.002710
1747612800,0.000148,0.000149,0.000147,0.000149,145.803001,0.021707
1747526400,0.000148,0.000154,0.000145,0.000148,2026.657922,0.300533
1747440000,0.000149,0.000149,0.000148,0.000148,131.241839,0.019487
1747353600,0.000156,0.000158,0.000152,0.000152,148.960006,0.022631
1747267200,0.000165,0.000165,0.000156,0.000156,272.949536,0.042572
1747180800,0.000168,0.000168,0.000163,0.000163,414.825130,0.067737
