unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1751241600,2025-06-30 00:00:00,XRP/USDT,2.20959,2.20959,2.20959,2.20959,0.00000000,0.0
1751238000,2025-06-29 23:00:00,XRP/USDT,2.22116,2.22116,2.20959,2.20959,130.35923012,288.0404512808508
1751234400,2025-06-29 22:00:00,XRP/USDT,2.19663,2.22092,2.19663,2.21704,1238.89614106,2746.6823005756623
1751230800,2025-06-29 21:00:00,XRP/USDT,2.18346,2.18860,2.18346,2.18860,521.51590229,1141.389703751894
1751227200,2025-06-29 20:00:00,XRP/USDT,2.19116,2.19116,2.19116,2.19116,0.00000000,0.0
1751223600,2025-06-29 19:00:00,XRP/USDT,2.19116,2.19116,2.19116,2.19116,0.00000000,0.0
1751220000,2025-06-29 18:00:00,XRP/USDT,2.19040,2.19116,2.19040,2.19116,1950.00000000,4272.762
1751216400,2025-06-29 17:00:00,XRP/USDT,2.18423,2.18423,2.18423,2.18423,0.00000000,0.0
1751212800,2025-06-29 16:00:00,XRP/USDT,2.18423,2.18423,2.18423,2.18423,127.00000000,277.39721
1751209200,2025-06-29 15:00:00,XRP/USDT,2.18642,2.18642,2.18642,2.18642,0.00000000,0.0
1751205600,2025-06-29 14:00:00,XRP/USDT,2.18642,2.18642,2.18642,2.18642,46.00000000,100.57532
1751202000,2025-06-29 13:00:00,XRP/USDT,2.19576,2.19576,2.19576,2.19576,11.25352427,24.710038451095198
1751198400,2025-06-29 12:00:00,XRP/USDT,2.19513,2.19513,2.19513,2.19513,0.00000000,0.0
1751194800,2025-06-29 11:00:00,XRP/USDT,2.18972,2.19513,2.18972,2.19513,17.46540000,38.338823502
1751191200,2025-06-29 10:00:00,XRP/USDT,2.18923,2.18923,2.18923,2.18923,5.82180000,12.745259213999997
1751187600,2025-06-29 09:00:00,XRP/USDT,2.18541,2.18541,2.18541,2.18541,0.00000000,0.0
1751184000,2025-06-29 08:00:00,XRP/USDT,2.18541,2.18541,2.18541,2.18541,0.00000000,0.0
1751180400,2025-06-29 07:00:00,XRP/USDT,2.18541,2.18541,2.18541,2.18541,0.00000000,0.0
