unix,open,high,low,close,Volume LINK,Volume ETH,return,log_return,SMA_24,volatility_24
1659571200,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659567600,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659564000,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659560400,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659556800,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659553200,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659549600,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659546000,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659542400,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659538800,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659535200,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659531600,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659528000,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659524400,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659520800,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659517200,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659513600,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659510000,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659506400,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659502800,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659499200,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659495600,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659492000,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659488400,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659484800,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659481200,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659477600,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659474000,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659470400,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659466800,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659463200,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000,0.000000,0.000000,0.004436,0.000000
1659459600,0.004454,0.004454,0.004436,0.004436,300.000000,1.330800,0.000000,0.000000,0.004436,0.000000
1659456000,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.045086,0.044099,0.004444,0.009203
1659452400,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004453,0.009203
1659448800,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004461,0.009203
1659445200,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004469,0.009203
1659441600,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004478,0.009203
1659438000,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004486,0.009203
1659434400,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004494,0.009203
1659430800,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004503,0.009203
1659427200,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004511,0.009203
1659423600,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004519,0.009203
1659420000,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004528,0.009203
1659416400,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004536,0.009203
1659412800,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004544,0.009203
1659409200,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004553,0.009203
1659405600,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004561,0.009203
1659402000,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004569,0.009203
1659398400,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004578,0.009203
1659394800,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004586,0.009203
1659391200,0.004636,0.004636,0.004636,0.004636,0.000000,0.000000,0.000000,0.000000,0.004594,0.009203
1659387600,0.004636,0.004636,0.004636,0.004636,7.772697,0.036032,0.000000,0.000000,0.004603,0.009203
1659384000,0.004542,0.004542,0.004542,0.004542,0.000000,0.000000,-0.020276,-0.020484,0.004607,0.010254
1659380400,0.004542,0.004542,0.004542,0.004542,0.000000,0.000000,0.000000,0.000000,0.004612,0.010254
