unix,open,high,low,close,Volume BTC,Volume USD
1751328000,107164.000000,107189.000000,107129.000000,107135.000000,0.967194,103620.290621
1751241600,108389.000000,108800.000000,106751.000000,107179.000000,809.671168,86779746.115072
1751155200,107353.000000,108546.000000,107239.000000,108384.000000,526.429076,57056489.026292
1751068800,107100.000000,107584.000000,106880.000000,107348.000000,204.999767,22006314.976108
1750982400,107005.000000,107794.000000,106351.000000,107100.000000,1286.607115,137795622.017571
1750896000,107417.000000,108358.000000,106640.000000,107004.000000,791.379749,84680798.702658
1750809600,106132.000000,108182.000000,105872.000000,107418.000000,1202.130731,129130478.864706
1750723200,105418.000000,106344.000000,104695.000000,106131.000000,1158.175426,122918316.170768
1750636800,100990.000000,106125.000000,99705.000000,105464.000000,1771.478094,186827165.717217
1750550400,102198.000000,103387.000000,98240.000000,101015.000000,1366.052813,137991824.878931
1750464000,103329.000000,104013.000000,100945.000000,102139.000000,817.521345,83500812.684533
1750377600,104682.000000,106521.000000,102309.000000,103316.000000,971.516195,100373167.158194
1750291200,104922.000000,105254.000000,103957.000000,104688.000000,464.845826,48663779.836476
1750204800,104617.000000,105566.000000,103521.000000,104922.000000,971.050319,101884541.592152
1750118400,106853.000000,107773.000000,103388.000000,104584.000000,1157.652589,121071938.417130
1750032000,105612.000000,108990.000000,105023.000000,106829.000000,932.055990,99570609.397373
1749945600,105475.000000,106163.000000,104532.000000,105617.000000,487.589701,51497761.484314
1749859200,106117.000000,106250.000000,104376.000000,105464.000000,516.900049,54514346.752971
1749772800,105725.000000,106209.000000,102816.000000,106118.000000,1268.164883,134575121.084968
1749686400,108670.000000,108833.000000,105731.000000,105731.000000,855.765062,90480895.822130
1749600000,110292.000000,110398.000000,108113.000000,108678.000000,717.488312,77975194.804139
1749513600,110311.000000,110400.000000,108403.000000,110292.000000,920.652762,101540634.444151
1749427200,105791.000000,110587.000000,105389.000000,110307.000000,1163.278776,128317791.972912
1749340800,105619.000000,106507.000000,105060.000000,105792.000000,353.130726,37358405.752297
1749254400,104416.000000,105959.000000,103992.000000,105619.000000,613.871456,64836489.288028
1749168000,101558.000000,105416.000000,101159.000000,104393.000000,1474.941483,153973566.236907
1749081600,104734.000000,105959.000000,100426.000000,101559.000000,1374.329509,139575530.594375
1748995200,105426.000000,106036.000000,104219.000000,104745.000000,791.948474,82952642.861995
1748908800,105890.000000,106854.000000,104947.000000,105454.000000,924.423892,97484197.152313
1748822400,105677.000000,106001.000000,103708.000000,105905.000000,941.731376,99734061.354099
1748736000,104646.000000,105908.000000,103832.000000,105705.000000,648.067478,68503972.794759
1748649600,103988.000000,104947.000000,103127.000000,104646.000000,483.311386,50576603.327610
1748563200,105577.000000,106329.000000,103675.000000,104034.000000,1224.110223,127349082.916695
1748476800,107821.000000,108924.000000,105374.000000,105578.000000,1431.778902,151164352.869957
1748390400,108980.000000,109307.000000,106804.000000,107811.000000,1079.827390,116417270.716337
1748304000,109474.000000,110789.000000,107562.000000,108980.000000,1296.612505,141304830.833043
1748217600,109114.000000,110461.000000,108759.000000,109468.000000,736.736625,80649084.812955
1748131200,107798.000000,109383.000000,106666.000000,109068.000000,908.976253,99140221.974201
1748044800,107319.000000,109501.000000,106908.000000,107799.000000,577.066806,62207224.597356
1747958400,111742.000000,111816.000000,106827.000000,107329.000000,1588.228626,170462990.241812
1747872000,109696.000000,112000.000000,109252.000000,111743.000000,1375.740257,153729343.503311
1747785600,106891.000000,110730.000000,106141.000000,109682.000000,2430.794137,266614362.515788
1747699200,105630.000000,107340.000000,104232.000000,106855.000000,1462.424853,156267407.626710
1747612800,106520.000000,107115.000000,102126.000000,105622.000000,1677.932123,177226546.737755
1747526400,103172.000000,106635.000000,103149.000000,106520.000000,905.179396,96419709.215051
1747440000,103503.000000,103720.000000,102668.000000,103153.000000,459.809889,47430769.463513
1747353600,103800.000000,104570.000000,103137.000000,103506.000000,994.760377,102963667.577622
1747267200,103514.000000,104184.000000,101442.000000,103793.000000,1339.093301,138988511.040514
1747180800,104126.000000,104357.000000,102622.000000,103531.000000,1171.493770,121285921.540176
1747094400,102796.000000,104997.000000,101471.000000,104135.000000,1432.504057,149173809.980902
1747008000,104138.000000,105706.000000,100764.000000,102796.000000,1914.472054,196800069.294851
1746921600,104809.000000,104958.000000,103369.000000,104129.000000,718.368323,74802975.115039
1746835200,102992.000000,104985.000000,102845.000000,104809.000000,624.265066,65428597.327548
1746748800,103234.000000,104332.000000,102350.000000,102991.000000,1336.085909,137604823.807473
1746662400,97059.000000,104159.000000,96907.000000,103261.000000,2303.463144,237857907.701225
1746576000,96815.000000,97717.000000,95823.000000,97054.000000,1333.272379,129399417.423910
1746489600,94725.000000,96895.000000,93376.000000,96814.000000,1074.635037,104039716.428552
1746403200,94301.000000,95198.000000,93550.000000,94725.000000,936.933696,88751044.369703
1746316800,95850.000000,96295.000000,94162.000000,94316.000000,562.773176,53078514.849696
1746230400,96926.000000,96956.000000,95800.000000,95916.000000,696.374189,66793426.690063
1746144000,96557.000000,97938.000000,96399.000000,96925.000000,919.207721,89094208.373433
1746057600,94181.000000,97470.000000,94141.000000,96535.000000,1742.186635,168181986.827101
1745971200,94284.000000,95269.000000,92946.000000,94181.000000,1384.243626,130369448.921470
1745884800,95040.000000,95479.000000,93775.000000,94285.000000,877.673780,82751472.370871
1745798400,93780.000000,95633.000000,92846.000000,95041.000000,1571.438685,149351104.071540
1745712000,94662.000000,95353.000000,93685.000000,93769.000000,582.205268,54592805.773217
1745625600,94720.000000,95249.000000,93934.000000,94662.000000,518.680731,49099355.338043
1745539200,94010.000000,95857.000000,92891.000000,94726.000000,2287.687501,216703486.222568
1745452800,93730.000000,94035.000000,91700.000000,94010.000000,1192.708175,112126495.541151
1745366400,93482.000000,94700.000000,91970.000000,93730.000000,2423.426916,227147804.817934
1745280000,87505.000000,93928.000000,87094.000000,93481.000000,2859.469206,267306040.846086
1745193600,85197.000000,88527.000000,85134.000000,87505.000000,2179.815866,190744787.356955
1745107200,85074.000000,85305.000000,83974.000000,85198.000000,462.809746,39430464.755044
1745020800,84466.000000,85611.000000,84367.000000,85069.000000,631.490838,53720294.108881
1744934400,84954.000000,85121.000000,84310.000000,84468.000000,323.240962,27303517.613693
1744848000,84045.000000,85478.000000,83751.000000,84954.000000,1119.587824,95113464.004344
1744761600,83632.000000,85528.000000,83102.000000,84046.000000,1593.448399,133922964.173451
1744675200,84583.000000,86450.000000,83612.000000,83686.000000,1162.911798,97319436.748350
1744588800,83774.000000,85787.000000,83680.000000,84583.000000,1425.881757,120605356.665864
1744502400,85277.000000,86084.000000,83031.000000,83712.000000,1210.922231,101368721.760453
1744416000,83384.000000,85892.000000,82784.000000,85274.000000,847.637576,72281446.633653
1744329600,79558.000000,84257.000000,78942.000000,83384.000000,1728.840989,144157677.007598
1744243200,82594.000000,82722.000000,78424.000000,79543.000000,1564.077378,124411406.841664
1744156800,76252.000000,83565.000000,74588.000000,82595.000000,4038.276211,333541423.607073
1744070400,79134.000000,80836.000000,76159.000000,76244.000000,2245.509010,171206588.988938
1743984000,78381.000000,81180.000000,74434.000000,79127.000000,4083.997110,323154439.288154
1743897600,83514.000000,83741.000000,77098.000000,78342.000000,2165.481302,169648136.178519
1743811200,83852.000000,84226.000000,82358.000000,83507.000000,518.181854,43271812.107030
1743724800,83182.000000,84708.000000,81659.000000,83851.000000,2005.882827,168195280.925938
1743638400,82477.000000,83896.000000,81200.000000,83132.000000,1777.452408,147763173.597651
1743552000,85171.000000,88563.000000,81188.000000,82502.000000,2861.646663,236091573.029602
1743465600,82537.000000,85530.000000,82417.000000,85170.000000,1504.002402,128095884.538310
1743379200,82367.000000,83914.000000,81287.000000,82538.000000,1937.337280,159903944.391879
1743292800,82608.000000,83500.000000,81551.000000,82359.000000,840.382635,69213073.410434
1743206400,84384.000000,84561.000000,81629.000000,82608.000000,745.393454,61575462.414989
1743120000,87224.000000,87481.000000,83544.000000,84379.000000,1392.336250,117483940.401623
1743033600,86966.000000,87755.000000,85828.000000,87219.000000,1289.372897,112457814.712165
1742947200,87448.000000,88296.000000,85869.000000,86913.000000,1552.959773,134972392.729890
1742860800,87488.000000,88539.000000,86321.000000,87436.000000,2134.772153,186655937.991567
1742774400,86084.000000,88772.000000,85541.000000,87512.000000,1888.334131,165251896.507952
1742688000,83806.000000,86116.000000,83806.000000,86084.000000,649.913979,55947194.960488
1742601600,84050.000000,84490.000000,83682.000000,83823.000000,316.864850,26560562.314006
1742515200,84179.000000,84801.000000,83142.000000,84061.000000,1146.507830,96376594.691746
1742428800,86870.000000,87470.000000,83631.000000,84158.000000,1877.132355,157975704.769961
1742342400,82694.000000,87010.000000,82567.000000,86868.000000,1926.609535,167360717.078562
1742256000,83930.000000,83989.000000,81138.000000,82715.000000,1290.215053,106720138.136191
1742169600,82569.000000,84741.000000,82466.000000,84058.000000,1198.896396,100776833.259171
1742083200,84362.000000,85059.000000,81983.000000,82555.000000,1178.202344,97266494.470119
1741996800,83984.000000,84672.000000,83633.000000,84347.000000,486.190102,41008676.543516
1741910400,81084.000000,85294.000000,80801.000000,83975.000000,1986.995114,166857914.678836
1741824000,83677.000000,84287.000000,79910.000000,81079.000000,1830.000892,148374642.296523
1741737600,82941.000000,84437.000000,80607.000000,83620.000000,2469.218470,206476048.422099
1741651200,78599.000000,83568.000000,76600.000000,82869.000000,2656.563712,220146778.231497
1741564800,80728.000000,84007.000000,77393.000000,78561.000000,2977.792688,233938371.327401
1741478400,86204.000000,86469.000000,80000.000000,80708.000000,1710.179388,138025158.036212
1741392000,86754.000000,86861.000000,85190.000000,86192.000000,579.749111,49969735.378760
1741305600,89922.000000,91277.000000,84713.000000,86759.000000,3286.780155,285157759.438147
1741219200,90590.000000,92790.000000,87835.000000,89918.000000,2169.689725,195094160.667373
1741132800,87262.000000,90993.000000,86397.000000,90611.000000,1832.665406,166059645.079507
1741046400,86161.000000,88922.000000,81463.000000,87240.000000,3206.205710,279709386.170934
1740960000,94272.000000,94422.000000,85069.000000,86160.000000,2856.704244,246133637.696642
1740873600,86031.000000,95152.000000,85029.000000,94273.000000,3153.029650,297245564.196335
1740787200,84316.000000,86517.000000,83803.000000,86033.000000,1461.966017,125777322.346583
1740700800,84621.000000,85082.000000,78197.000000,84321.000000,3567.367973,300804034.885905
1740614400,84150.000000,86988.000000,82615.000000,84639.000000,2559.949084,216671530.548607
1740528000,88573.000000,89279.000000,82133.000000,84071.000000,3118.754783,262196833.346460
1740441600,91516.000000,92512.000000,85953.000000,88576.000000,4284.625463,379514984.992087
1740355200,96264.000000,96492.000000,91330.000000,91554.000000,1692.147414,154922864.327623
1740268800,96571.000000,96666.000000,95260.000000,96262.000000,539.914475,51973247.221329
1740182400,96137.000000,96967.000000,95750.000000,96572.000000,795.722626,76844525.461249
1740096000,98335.000000,99508.000000,94805.000000,96131.000000,2838.775619,272894339.028166
1740009600,96639.000000,98758.000000,96439.000000,98337.000000,1681.576501,165361188.413255
1739923200,95612.000000,96866.000000,95011.000000,96642.000000,1420.104728,137241761.085686
1739836800,95779.000000,96714.000000,93340.000000,95612.000000,1415.529024,135341561.039820
1739750400,96066.000000,97014.000000,95227.000000,95772.000000,800.638071,76678709.368374
1739664000,97591.000000,97727.000000,96066.000000,96132.000000,445.573811,42833901.643273
1739577600,97515.000000,97974.000000,97237.000000,97591.000000,335.744804,32765671.174971
1739491200,96631.000000,98871.000000,96300.000000,97520.000000,1251.272688,122024112.494752
1739404800,97882.000000,98091.000000,95249.000000,96627.000000,857.758935,82882672.640267
1739318400,95756.000000,98144.000000,94091.000000,97882.000000,1476.470492,144519884.712626
1739232000,97465.000000,98490.000000,94853.000000,95754.000000,1284.471411,122993275.474531
1739145600,96533.000000,98349.000000,95307.000000,97469.000000,994.108879,96894798.303858
1739059200,96472.000000,97337.000000,94726.000000,96477.000000,1008.668707,97313330.860675
1738972800,96534.000000,96896.000000,95700.000000,96472.000000,615.712432,59399009.777528
1738886400,96566.000000,100185.000000,95662.000000,96535.000000,1936.931678,186981699.510631
1738800000,96614.000000,99174.000000,95678.000000,96573.000000,1723.925211,166484629.373897
