unix,date,symbol,open,high,low,close,Volume AAVE,Volume BTC
1751328000,2025-07-01 00:00:00,AAVE/BTC,0.002570,0.002570,0.002570,0.002570,0.000000,0.000000
1751241600,2025-06-30 00:00:00,AAVE/BTC,0.002570,0.002570,0.002570,0.002570,0.002749,0.000007
1751155200,2025-06-29 00:00:00,AAVE/BTC,0.002418,0.002418,0.002418,0.002418,0.000000,0.000000
1751068800,2025-06-28 00:00:00,AAVE/BTC,0.002418,0.002418,0.002418,0.002418,0.000000,0.000000
1750982400,2025-06-27 00:00:00,AAVE/BTC,0.002418,0.002418,0.002418,0.002418,0.000000,0.000000
1750896000,2025-06-26 00:00:00,AAVE/BTC,0.002418,0.002418,0.002418,0.002418,0.000000,0.000000
1750809600,2025-06-25 00:00:00,AAVE/BTC,0.002418,0.002418,0.002418,0.002418,0.921327,0.002228
1750723200,2025-06-24 00:00:00,AAVE/BTC,0.002507,0.002507,0.002507,0.002507,0.637867,0.001599
1750636800,2025-06-23 00:00:00,AAVE/BTC,0.002384,0.002384,0.002300,0.002300,50.000000,0.115000
1750550400,2025-06-22 00:00:00,AAVE/BTC,0.002216,0.002216,0.002178,0.002178,1.142858,0.002490
1750464000,2025-06-21 00:00:00,AAVE/BTC,0.002510,0.002510,0.002510,0.002510,0.000000,0.000000
1750377600,2025-06-20 00:00:00,AAVE/BTC,0.002510,0.002510,0.002510,0.002510,0.000000,0.000000
1750291200,2025-06-19 00:00:00,AAVE/BTC,0.002510,0.002510,0.002510,0.002510,0.000000,0.000000
1750204800,2025-06-18 00:00:00,AAVE/BTC,0.002510,0.002510,0.002510,0.002510,0.706837,0.001774
1750118400,2025-06-17 00:00:00,AAVE/BTC,0.002536,0.002536,0.002536,0.002536,0.317394,0.000805
1750032000,2025-06-16 00:00:00,AAVE/BTC,0.002669,0.002669,0.002669,0.002669,0.838045,0.002236
1749945600,2025-06-15 00:00:00,AAVE/BTC,0.002580,0.002580,0.002580,0.002580,0.000000,0.000000
1749859200,2025-06-14 00:00:00,AAVE/BTC,0.002580,0.002580,0.002580,0.002580,0.000000,0.000000
1749772800,2025-06-13 00:00:00,AAVE/BTC,0.002587,0.002587,0.002580,0.002580,0.387729,0.001000
1749686400,2025-06-12 00:00:00,AAVE/BTC,0.002887,0.002887,0.002887,0.002887,0.000000,0.000000
1749600000,2025-06-11 00:00:00,AAVE/BTC,0.002923,0.002923,0.002887,0.002887,1.664230,0.004805
1749513600,2025-06-10 00:00:00,AAVE/BTC,0.002650,0.002750,0.002650,0.002750,1.075472,0.002958
1749427200,2025-06-09 00:00:00,AAVE/BTC,0.002501,0.002510,0.002501,0.002510,3.420679,0.008586
1749340800,2025-06-08 00:00:00,AAVE/BTC,0.002501,0.002501,0.002501,0.002501,0.000000,0.000000
1749254400,2025-06-07 00:00:00,AAVE/BTC,0.002501,0.002501,0.002501,0.002501,0.000000,0.000000
1749168000,2025-06-06 00:00:00,AAVE/BTC,0.002501,0.002501,0.002501,0.002501,0.000000,0.000000
1749081600,2025-06-05 00:00:00,AAVE/BTC,0.002501,0.002501,0.002419,0.002501,93.822337,0.234661
1748995200,2025-06-04 00:00:00,AAVE/BTC,0.002588,0.002588,0.002501,0.002501,96.353409,0.240991
1748908800,2025-06-03 00:00:00,AAVE/BTC,0.002501,0.002501,0.002501,0.002501,0.227537,0.000569
