unix,open,high,low,close,Volume ETH,Volume DAI
1717542000,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717538400,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717534800,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717531200,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717527600,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717524000,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717520400,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717516800,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717513200,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717509600,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717506000,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717502400,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717498800,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717495200,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717491600,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717488000,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717484400,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717480800,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717477200,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717473600,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717470000,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717466400,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717462800,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717459200,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717455600,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717452000,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717448400,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717444800,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717441200,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
1717437600,3705.090000,3705.090000,3705.090000,3705.090000,0.000000,0.000000
